symbol,date,marketcap
CBMX,2015-03-31,23
CBNJ,2015-03-31,123
CBNK1,2015-03-31,87
CBNR,2015-03-31,3
CBOE,2015-03-31,4741
CBPO,2015-03-31,2416
CBPX,2015-03-31,983
CBRE,2015-03-31,12827
CBRI,2015-03-31,314
CBRL,2015-03-31,3356
CBSH,2015-03-31,4117
CBSJ,2015-03-31,3
CBT,2015-03-31,2791
CBU,2015-03-31,1438
CBZ,2015-03-31,454
CCBG,2015-03-31,272
CCC1,2015-03-31,1143
CCE1,2015-03-31,10454
CCEL,2015-03-31,24
CCF,2015-03-31,396
CCG,2015-03-31,432
CCI,2015-03-31,27742
CCK,2015-03-31,7561
CCL,2015-03-31,37205
CCLP,2015-03-31,662
CCMP,2015-03-31,1174
CCN,2015-03-31,135
CCNE,2015-03-31,245
CCO,2015-03-31,3875
CCOI,2015-03-31,1572
CCOP,2015-03-31,4
CCRE,2015-03-31,2
CCRN,2015-03-31,356
CCS,2015-03-31,419
CCUR,2015-03-31,59
CCXI,2015-03-31,322
CDE,2015-03-31,614
CDI,2015-03-31,271
CDK,2015-03-31,7603
CDMO,2015-03-31,258
CDNA,2015-03-31,61
CDNS,2015-03-31,5449
CDOR,2015-03-31,10
CDR,2015-03-31,611
CDRB,2015-03-31,390
CDTI,2015-03-31,28
CDTX,2015-03-31,223
CDW,2015-03-31,6375
CDXC,2015-03-31,154
CDXI,2015-03-31,18
CDXS,2015-03-31,180
CDZI,2015-03-31,157
CE,2015-03-31,9418
CEAI,2015-03-31,1
CEB,2015-03-31,2756
CECE,2015-03-31,297
CEI,2015-03-31,6
CELG,2015-03-31,89000
CELP,2015-03-31,169
CEMI,2015-03-31,42
CEMP,2015-03-31,1433
CENT,2015-03-31,486
CENX,2015-03-31,1248
CEQP,2015-03-31,1079
CERE,2015-03-31,16
CERN,2015-03-31,24167
CERS,2015-03-31,420
CESX,2015-03-31,47
CETC,2015-03-31,57
CETV,2015-03-31,367
CEVA,2015-03-31,424
CF,2015-03-31,13858
CFBK,2015-03-31,22
CFCB,2015-03-31,2
CFFI,2015-03-31,118
CFFN,2015-03-31,1722
CFG,2015-03-31,13517
CFIS,2015-03-31,15
CFNB,2015-03-31,143
CFNL,2015-03-31,650
CFR,2015-03-31,4464
CFRX,2015-03-31,102
CFX,2015-03-31,5995
CG,2015-03-31,1970
CGA,2015-03-31,67
CGI,2015-03-31,628
CGIX,2015-03-31,83
CGNT,2015-03-31,30
CGNX,2015-03-31,4233
CGYG,2015-03-31,5
CHCI,2015-03-31,16
CHCO,2015-03-31,706
CHD,2015-03-31,10985
CHDN,2015-03-31,2012
CHE,2015-03-31,2014
CHEF,2015-03-31,521
CHEV,2015-03-31,104
CHFN,2015-03-31,197
CHFS,2015-03-31,77
CHGG,2015-03-31,702
CHH,2015-03-31,3510
CHK,2015-03-31,9604
CHLN,2015-03-31,14
CHMG,2015-03-31,126
CHMI,2015-03-31,132
CHMP,2015-03-31,4
CHMT,2015-03-31,1957
CHRS,2015-03-31,908
CHRW,2015-03-31,10116
CHS,2015-03-31,2508
CHSP,2015-03-31,1878
CHTR,2015-03-31,21313
CHUC,2015-03-31,9
CHUY,2015-03-31,389
CI,2015-03-31,32766
CIA,2015-03-31,289
CICN,2015-03-31,7
CIDM,2015-03-31,89
CIEIQ,2015-03-31,4051
CIEN,2015-03-31,2636
CIFC,2015-03-31,190
CIGI,2015-03-31,2325
CIIT,2015-03-31,17
CIM,2015-03-31,3150
CINF,2015-03-31,8704
CINR,2015-03-31,466
CIO,2015-03-31,158
CIR,2015-03-31,968
CIT,2015-03-31,7943
CIVB,2015-03-31,86
CIVI,2015-03-31,733
CIX,2015-03-31,144
CIZN,2015-03-31,91
CJESQ,2015-03-31,1232
CJJD,2015-03-31,46
CKEC,2015-03-31,778
CKH,2015-03-31,1277
CKP,2015-03-31,440
CKX,2015-03-31,29
CL,2015-03-31,61878
CLAR,2015-03-31,305
CLB,2015-03-31,5094
CLBH,2015-03-31,36
CLBS,2015-03-31,97
CLC,2015-03-31,3323
CLCD,2015-03-31,133
CLCN,2015-03-31,13
CLCS,2015-03-31,31
CLCT,2015-03-31,203
CLDB,2015-03-31,69
CLDC,2015-03-31,88
CLDPQ,2015-03-31,377
CLDT,2015-03-31,1102
CLDX,2015-03-31,2457
CLF,2015-03-31,872
CLFD,2015-03-31,196
CLGX,2015-03-31,3363
CLH,2015-03-31,3248
CLI,2015-03-31,1693
CLIR,2015-03-31,70
CLMS,2015-03-31,264
CLMT,2015-03-31,1858
CLNE,2015-03-31,641
CLNY1,2015-03-31,2860
CLPT,2015-03-31,77
CLR,2015-03-31,17155
CLRB,2015-03-31,22
CLRO,2015-03-31,108
CLSN,2015-03-31,52
CLUB,2015-03-31,162
CLVS,2015-03-31,2674
CLW,2015-03-31,1228
CLX,2015-03-31,14226
CMA,2015-03-31,8244
CMC,2015-03-31,1820
CMCO,2015-03-31,505
CMCSA,2015-03-31,145620
CMCT,2015-03-31,1834
CMD,2015-03-31,2010
CME,2015-03-31,31215
CMG,2015-03-31,20045
CMI,2015-03-31,25018
CMLP,2015-03-31,3033
CMLSQ,2015-03-31,554
CMO,2015-03-31,1128
CMOH,2015-03-31,33
CMP,2015-03-31,3109
CMPR,2015-03-31,2753
CMRO,2015-03-31,2
CMRX,2015-03-31,1553
CMS,2015-03-31,9668
CMT,2015-03-31,153
CMTL,2015-03-31,475
CMTV,2015-03-31,70
CMXC,2015-03-31,9
CNA,2015-03-31,10962
CNAT,2015-03-31,113
CNBKA,2015-03-31,218
